year,quarter,score
2012,1,0.9476620554924011
2012,1,0.9962330460548401
2012,1,-0.9719842672348022
2012,1,-0.9989364743232727
2012,1,0.9980393052101135
2012,1,-0.9808601140975952
2012,1,0.9734540581703186
2012,1,0.988470196723938
2011,4,0.9985016584396362
2011,4,0.9745097160339355
2011,4,-0.9996009469032288
2011,4,-0.9606802463531494
2011,4,-0.9748649001121521
2011,4,-0.8730480670928955
2011,4,0.9755963683128357
2011,4,-0.9995449185371399
2011,4,-0.9973157048225403
2011,4,0.99107426404953
2011,3,0.9997715353965759
2011,3,-0.996906578540802
2011,3,-0.9997572302818298
2011,3,-0.7506260871887207
2011,3,0.9996610879898071
2011,3,0.9763703346252441
2011,3,0.9987543821334839
2011,2,-0.9977546334266663
2011,2,-0.9981119632720947
2011,2,0.9948411583900452
2011,2,0.998120129108429
2011,2,-0.5989260077476501
2011,2,0.9994685053825378
2011,2,0.9998762607574463
2011,2,0.9992538094520569
2011,2,0.8905397057533264
2011,2,0.9640681743621826
2011,2,-0.9753130674362183
2011,2,0.9984785914421082
2011,2,-0.9316688776016235
2011,2,0.9913946986198425
2011,2,0.5973402261734009
2011,2,0.990342378616333
2011,1,-0.9979860782623291
2011,1,-0.5470895767211914
2011,1,0.9986463189125061
2011,1,-0.9715795516967773
2011,1,-0.9990033507347107
2011,1,0.979327380657196
2011,1,0.8865656852722168
2011,1,0.9867342710494995
2011,1,0.9143972396850586
2010,4,-0.9037217497825623
2010,4,0.9992334842681885
2010,4,-0.9985571503639221
2010,4,-0.9692932367324829
2010,4,0.9997488856315613
2010,4,-0.9978827834129333
2010,4,0.9958261847496033
2010,4,0.9506471157073975
2010,4,0.9998233914375305
2010,4,-0.8886308670043945
2010,4,0.9991612434387207
2010,4,-0.9923397302627563
2010,3,0.9916186928749084
2010,3,0.9987084865570068
2010,3,0.997408926486969
2010,3,-0.9960193037986755
2010,3,0.9986268281936646
2010,3,0.9975982308387756
2010,3,0.992037296295166
2010,3,-0.9209121465682983
2010,3,0.9831798076629639
2010,3,0.9626522064208984
2010,2,-0.9971121549606323
2010,2,-0.9996761083602905
2010,2,-0.9997914433479309
2010,2,0.9994749426841736
2010,2,-0.9932913780212402
2010,2,-0.9997515082359314
2010,2,0.9998131394386292
2010,2,0.9983282685279846
2010,2,-0.995387852191925
2010,2,-0.5995976328849792
2010,2,-0.9991506338119507
2010,2,0.997079610824585
2010,2,0.9995262622833252
2010,2,-0.9995865225791931
2010,2,0.9934820532798767
2010,2,-0.9419888854026794
2010,2,0.6953585743904114
2010,2,-0.9995853304862976
2010,2,0.9997424483299255
2010,2,0.999279797077179
2010,2,-0.9993066787719727
2010,2,0.9998151659965515
2010,2,0.9945607781410217
2010,1,-0.9419888854026794
2010,1,0.9737841486930847
2010,1,0.9993515610694885
2010,1,-0.9916747212409973
2010,1,0.9997727274894714
2010,1,0.999250590801239
2010,1,0.9998526573181152
2010,1,0.9997482895851135
2010,1,0.9980217218399048
2010,1,-0.9987371563911438
2010,1,-0.929256021976471
2010,1,0.7921228408813477
2010,1,-0.9996737241744995
